"gene_id","cluster","betweenness","degree_centrality"
"SH3BGRL3","44",0,1
"PLPP4","45",0,1
"SGPP2","45",0,1
"TYMP","46",0,1
"XDH","46",0,1
"PYCR1","47",0,1
"PYCR3","47",0,1
"RAB3D","48",0,1
"TMEM102","48",0,1
"RTN2","49",0,1
"SVOPL","49",0,1
"SCARA3","50",0,1
"SYNGR2","50",0,1
"SPINT1","51",0,1
"ST14","51",0,1
"STXBP6","52",0,1
"TNFAIP2","52",0,1
"SULT1C2","53",0,1
"SULT2B1","53",0,1
"TLR7","54",0,1
"UNC93B1","54",0,1
"TTC30B","55",0,1
"ZC2HC1C","55",0,1
"ZNF492","56",0,1
"ZNF726","56",0,1
