"","external_gene_name","logFC"
"702","MROH3P",-1.94712357009664
"703","TMEM238",1.45182715012996
"704","H2BC15",1.13153950869111
"705","LINC02535",2.19835860037015
"706","SLC25A25-AS1",-1.12584896543584
"707","KIAA0040",1.08833273095067
"708","SULT1C5P",-2.07334484376238
"709","KIFC1",1.65071928434665
"710","RPL21P118",-1.00996173967861
"711","RN7SL263P",-1.10662076167003
"712","RPS2P5",1.28121002742945
"713","RN7SL521P",-1.28147508935538
"714","MIF",1.82345960878169
"715","RN7SL144P",-1.33024645758793
"716","TPTEP2",1.11343262711075
"717","GBA3",4.03980821472049
"718","SCARNA5",-1.05928729314143
"719","HOXA10",2.54526844766579
"720","PCDHGA5",1.80819513842136
"721","PCDHGB2",1.61069607808297
"722","PCDHGB1",3.06774800238547
"723","MEX3A",1.65397354167676
"724","LMNTD2-AS1",1.76922434252137
"725","CLEC5A",1.42758977395167
"726","ZNF865",1.33640376007008
"727","BOP1",1.4243869712321
"728","DLGAP1-AS2",1.21407061298671
"729","PCDHGA4",2.4811734776273
"730","SPON1",2.64357153714495
"731","MRPL12",1.80119469891991
"732","TMEM220-AS1",-1.46311351361421
"733","MSMB",-3.16991006206094
"734","H2BC14",1.59222070898207
"735","H2BC8",1.31323291724831
"736","H2BC6",1.51120168645001
"737","H2BC17",1.84228775339242
"738","H2AC12",1.69149361283414
"739","H4C13",1.73005854574301
"740","H2AC15",1.29854759032066
"741","H3C11",1.51181876712282
"742","H3C1",1.09755894674292
"743","PRSS2",-4.79271806290851
"744","DUSP14",1.33420723302067
"745","UHRF1",1.64496816204453
"746","H2AC14",1.60894313965724
"747","H2BC3",1.42720846777323
"748","DACH1",2.20526722174011
"749","H2AC16",2.10139156296639
"750","H2AC8",1.23382176762632
"751","H4C4",1.03412275834843
"752","H2BC7",1.6482629514824
"753","RNVU1-2A",-1.28964872006895
"754","H2AC4",2.12332778962253
"755","H2BC10",1.19742086017872
"756","H4C1",1.34986367571706
"757","RN7SL660P",-1.05884059236308
"758","RN7SL3",-1.18902103779016
"759","H3C10",1.82956560669675
